Nome: UBERLANDIA
Codigo Estacao: A507
Latitude: -18.91694443
Longitude: -48.25555555
Altitude: 874.77
Situacao: Operante
Data Inicial: 2005-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2005-01-01;5,6;916;29,6;23,3;18,9;73,1;1,4;
2005-01-02;null;null;null;null;null;69,3;null;
2005-01-03;13,8;916,6;26,8;null;17,8;81,4;2,6;
2005-01-04;null;914,9;26,5;null;19,1;82;2,5;
2005-01-05;null;null;27,1;null;19,6;78,4;null;
2005-01-06;15;915,5;28,6;22,4;18,9;79,1;1,9;
2005-01-07;null;null;30;null;21,1;67,6;null;
2005-01-08;0;915,3;30;23,6;21,2;75;2,1;
2005-01-09;null;null;null;null;null;64;null;
2005-01-10;12,2;913,6;28,6;23,1;19,4;75,5;2,2;
2005-01-11;null;913,4;27,5;null;21;76,1;2,6;
2005-01-12;6,6;913,7;25,2;22,3;20,4;82,7;1,4;
2005-01-13;null;null;null;null;null;80,3;null;
2005-01-14;13;910,8;29,8;24,7;21;73,5;2;
2005-01-15;null;null;28,2;null;22,2;76,9;null;
2005-01-16;null;null;29,7;null;null;71,8;null;
2005-01-17;12,6;910,8;26,5;23,1;19,2;78,9;2,1;
2005-01-18;null;null;27,5;null;20,6;81,5;null;
2005-01-19;null;null;25,8;null;20,9;80,4;null;
2005-01-20;null;913,3;28;null;19,8;73,2;null;
2005-01-21;20,6;915,2;28,4;22,9;19,8;78,7;2,3;
2005-01-22;31;917,2;29,7;23,4;19,1;78,1;1,5;
2005-01-23;null;916;30;null;20;73,5;1,1;
2005-01-24;null;914,2;29,6;null;19,7;68,3;2;
2005-01-25;23,8;913;29;23,4;19;75,7;2,6;
2005-01-26;null;null;null;null;21,3;null;null;
2005-01-27;null;null;null;null;null;null;null;
2005-01-28;null;916,3;29,3;23,1;null;80,5;2,3;
2005-01-29;null;null;null;null;19,3;80,6;null;
2005-01-30;null;913,4;29,3;null;19,1;70,7;1,7;
2005-01-31;2,8;913,2;29,9;23,5;20,2;76,6;2,2;
2005-02-01;null;911,4;29,3;null;20,5;73;1,5;
2005-02-02;2,2;912,9;26,3;21,6;18,9;77,7;2,7;
2005-02-03;null;916,5;26,8;null;18,9;77,6;1,9;
2005-02-04;1,2;918,1;30,6;24,8;21,4;66,8;1,8;
2005-02-05;0;918,3;31;25,1;21,2;65,8;2,5;
2005-02-06;6,4;917,9;26,5;22,2;20,1;77,5;2;
2005-02-07;null;null;null;null;null;55,9;null;
2005-02-08;0;916,3;28,4;23,2;18;61,3;3;
2005-02-09;0;916,3;27,9;22,7;17;53,3;3,1;
2005-02-10;0;914,3;27,4;22,9;17,1;50,7;2;
2005-02-11;0;912,4;29,3;24;17,7;50,8;1,4;
2005-02-12;0;911,2;30,3;24,5;19,4;57,8;1,8;
2005-02-13;0;911,9;30,4;24,8;19,8;54,2;1,7;
2005-02-14;0;912,2;30;24,3;18;50,1;1,8;
2005-02-15;0;911;29,8;24,3;19,6;54,5;1,1;
2005-02-16;,6;911,6;31,7;25,1;21,3;58,8;1,1;
2005-02-17;null;null;30,9;null;22,3;59,4;null;
2005-02-18;0;916;30,2;23,9;21,8;73,9;2,2;
2005-02-19;30,2;916,1;30,3;24;19,7;75,8;1,4;
2005-02-20;null;914,9;32,1;null;21,9;59,4;1,8;
2005-02-21;0;913,6;31,8;25,8;20,6;53,9;2,5;
2005-02-22;0;913,9;31,5;25,5;19,6;50,7;2,1;
2005-02-23;0;915,5;32,2;26,6;20,8;52,6;2,1;
2005-02-24;0;917;32,4;27,1;22,1;53,6;2,2;
2005-02-25;0;915,9;32,3;26,7;21,9;56,2;1,6;
2005-02-26;0;914,7;29,5;24,5;20;68;1,6;
2005-02-27;2,4;null;null;null;20,1;80,4;null;
2005-02-28;null;915,7;28,9;24;null;74;1,6;
2005-03-01;,2;915,3;29,9;24,3;21,1;74,2;1,6;
2005-03-02;31,8;915,4;25,9;22,4;21,1;82,3;2,1;
2005-03-03;15,4;916,6;20,9;19,7;18,8;88,1;2,1;
2005-03-04;25,4;916,6;28,4;null;18;77,3;1,8;
2005-03-05;null;917,2;29,2;null;18,2;70;1,8;
2005-03-06;null;915,9;30,6;null;19,2;56,1;1,6;
2005-03-07;0;915,5;30,5;25;19,9;61,6;2,2;
2005-03-08;0;916;30,8;25;20,8;64,8;2,2;
2005-03-09;0;915,2;29,8;24,6;20,7;66,8;1,6;
2005-03-10;,4;914,8;29,4;24,7;20,8;68,5;2,1;
2005-03-11;0;916,2;29,3;24,5;21,4;71,5;1,9;
2005-03-12;0;915,1;30,8;25;21,7;69,8;1,3;
2005-03-13;1,8;914,1;30,7;25,7;21,8;67,4;1,8;
2005-03-14;0;912,7;30,2;25,2;22,4;69,7;2;
2005-03-15;0;912,7;29,3;24,7;21,7;72,3;2,3;
2005-03-16;14,4;915,9;28,5;23;19,7;79,2;2,7;
2005-03-17;17;916,4;28,3;22,6;19,4;79,2;1,9;
2005-03-18;24,4;916,1;27,9;22,2;19,4;80,5;1,7;
2005-03-19;1,2;915,7;28,1;23,1;19,6;75,3;1,5;
2005-03-20;7,4;916,4;25,4;21,2;19,8;84,5;1,7;
2005-03-21;11,6;916,7;29;23,2;19,9;76,6;1,8;
2005-03-22;,4;null;null;null;20,8;84,2;null;
2005-03-23;null;null;null;null;null;null;null;
2005-03-24;null;null;null;null;null;null;null;
2005-03-25;null;null;null;null;null;null;null;
2005-03-26;null;null;null;null;null;null;null;
2005-03-27;null;null;null;null;null;null;null;
2005-03-28;null;null;null;null;null;null;null;
2005-03-29;null;null;null;null;null;null;null;
2005-03-30;null;null;null;null;null;null;null;
2005-03-31;null;null;null;null;null;null;null;
2005-04-01;null;null;null;null;null;null;null;
2005-04-02;null;null;null;null;null;null;null;
2005-04-03;null;null;null;null;null;null;null;
2005-04-04;null;null;null;null;null;null;null;
2005-04-05;null;null;null;null;null;null;null;
2005-04-06;null;null;null;null;null;null;null;
2005-04-07;null;null;null;null;null;null;null;
2005-04-08;null;null;null;null;null;null;null;
2005-04-09;null;null;null;null;null;null;null;
2005-04-10;null;null;null;null;null;null;null;
2005-04-11;null;null;null;null;null;null;null;
2005-04-12;null;null;null;null;null;null;null;
2005-04-13;null;null;null;null;null;null;null;
2005-04-14;null;null;null;null;null;null;null;
2005-04-15;null;null;null;null;null;null;null;
2005-04-16;null;null;null;null;null;null;null;
2005-04-17;null;null;null;null;null;null;null;
2005-04-18;null;null;null;null;null;null;null;
2005-04-19;null;null;null;null;null;null;null;
2005-04-20;null;null;null;null;null;null;null;
2005-04-21;null;null;null;null;null;null;null;
2005-04-22;null;null;null;null;null;null;null;
2005-04-23;null;null;null;null;null;null;null;
2005-04-24;null;null;null;null;null;null;null;
2005-04-25;null;null;null;null;null;null;null;
2005-04-26;null;null;null;null;null;null;null;
2005-04-27;null;null;null;null;null;null;null;
2005-04-28;null;null;null;null;null;null;null;
2005-04-29;null;null;null;null;null;null;null;
2005-04-30;null;null;null;null;null;null;null;
2005-05-01;null;null;null;null;null;null;null;
2005-05-02;null;null;null;null;null;null;null;
2005-05-03;null;null;null;null;null;null;null;
2005-05-04;null;null;null;null;null;null;null;
2005-05-05;null;null;null;null;null;null;null;
2005-05-06;null;null;null;null;null;null;null;
2005-05-07;null;null;null;null;null;null;null;
2005-05-08;null;null;null;null;null;null;null;
2005-05-09;null;null;null;null;null;null;null;
2005-05-10;null;null;null;null;null;null;null;
2005-05-11;null;null;null;null;null;null;null;
2005-05-12;null;null;null;null;null;null;null;
2005-05-13;null;null;null;null;null;null;null;
2005-05-14;null;null;null;null;null;null;null;
2005-05-15;null;null;null;null;null;null;null;
2005-05-16;null;null;null;null;null;null;null;
2005-05-17;null;null;null;null;null;null;null;
2005-05-18;null;null;null;null;null;null;null;
2005-05-19;null;null;null;null;null;null;null;
2005-05-20;null;null;null;null;null;null;null;
2005-05-21;null;null;null;null;null;null;null;
2005-05-22;null;null;null;null;null;null;null;
2005-05-23;null;null;null;null;null;null;null;
2005-05-24;null;null;null;null;null;null;null;
2005-05-25;null;null;null;null;null;null;null;
2005-05-26;null;null;null;null;null;null;null;
2005-05-27;null;920,7;26,2;19,4;13,9;64,5;2,3;
2005-05-28;0;921,1;26,2;20,9;16,8;67;2,7;
2005-05-29;0;921,3;23,6;18,8;15,7;72;2,7;
2005-05-30;1,4;922,2;26,4;20,7;17,1;70,1;2,5;
2005-05-31;2,2;921,7;26;20,9;16,7;63,4;3,4;
2005-06-01;0;921,7;23,1;19,8;17;67,7;2,3;
2005-06-02;0;920,6;25,7;20,7;17,4;64,5;3,7;
2005-06-03;0;921;23,8;19,5;15,1;71,5;1,9;
2005-06-04;0;921,6;25,3;20,5;15,5;65,2;2,6;
2005-06-05;0;921,9;26,2;20,4;15,2;60,6;2,9;
2005-06-06;0;921;25,8;20,3;15,2;60,7;2,8;
2005-06-07;0;919,6;25,6;20;15,4;60,5;2,8;
2005-06-08;0;920,5;26,2;20,4;15,7;58,2;2,6;
2005-06-09;0;920,7;26,1;20,4;15,6;55;2,3;
2005-06-10;0;920;26;20,2;15,5;56,8;3;
2005-06-11;0;919,7;25,8;20,3;15,4;55,5;2,6;
2005-06-12;0;919,7;26,4;20,5;15,5;55,6;2,3;
2005-06-13;0;919,1;26,2;20,4;15,2;57,8;2,3;
2005-06-14;0;null;null;null;15,6;63,6;null;
2005-06-15;null;null;null;null;null;43,5;null;
2005-06-16;0;919,8;27;20,7;15,5;55,4;2,1;
2005-06-17;0;918,6;27,8;21,4;15,4;54,8;1,2;
2005-06-18;0;917,2;27,7;20,4;17,8;65,3;2,1;
2005-06-19;17,6;917,5;26,5;20,3;14,6;68,3;1,2;
2005-06-20;0;917,4;28,1;22,3;17,6;58,5;2;
2005-06-21;11,4;920,3;22,7;18,5;15,8;78,5;1,7;
2005-06-22;,2;921,2;24,6;19,5;16,6;74,8;2;
2005-06-23;12;922,1;22,5;17,9;15,1;78,5;2,6;
2005-06-24;0;921,6;23,8;18,4;13,7;67;1,9;
2005-06-25;0;920,7;24,3;18,7;13,4;57,2;2;
2005-06-26;0;919,9;24,3;18,4;12;54,3;2,1;
2005-06-27;0;918,6;25,3;19,1;13,1;60,6;2,2;
2005-06-28;0;920,1;24,8;21;17,4;66;2,8;
2005-06-29;0;920,8;26,6;21,5;17;67;2,1;
2005-06-30;0;921,2;27,1;21,6;17;62,9;1,8;
2005-07-01;0;920,1;27,5;22,2;17;56,5;2,2;
2005-07-02;0;920,7;26,3;21,2;15,6;49,9;2,1;
2005-07-03;0;920,9;27,2;20,7;14,2;48;1,8;
2005-07-04;0;919,8;26,8;20,9;14,1;46;1,3;
2005-07-05;0;919,6;27,4;20,9;14,8;50,5;1,1;
2005-07-06;0;921,5;26,9;21,1;16,4;58,3;1,2;
2005-07-07;0;923,1;23,8;18,6;15,4;80;2,1;
2005-07-08;0;923,9;23,2;17,7;14,2;64,8;3,4;
2005-07-09;0;925,2;21,8;16,5;12,1;54,9;4,4;
2005-07-10;0;923,8;22,8;16,4;10,3;50,6;3,3;
2005-07-11;0;923,3;22,9;17,5;13,2;65,4;3,2;
2005-07-12;0;922,9;24,2;18,3;13,3;61,4;3,4;
2005-07-13;0;922,1;25;null;13,9;59,9;2,4;
2005-07-14;null;null;24,3;null;12,6;52,9;null;
2005-07-15;null;920,1;25,2;18,8;12,7;47,5;2,8;
2005-07-16;0;918,9;25,7;20,1;14,9;54,2;2,7;
2005-07-17;0;918,4;28;20,9;16,2;56,4;2,2;
2005-07-18;0;919,4;23;17,2;13,7;74;1,8;
2005-07-19;0;920,5;23,1;15,4;10,5;77,4;2,5;
2005-07-20;0;920,5;27,2;18,6;11,7;70;1,4;
2005-07-21;,2;920,5;26,7;20,8;16,1;61,7;3,8;
2005-07-22;0;921,5;27,9;21,6;16,7;55,3;2,9;
2005-07-23;0;920,8;27,9;22,2;16,9;51,3;2,8;
2005-07-24;0;920,7;28,4;22,5;17,2;47,6;2,8;
2005-07-25;0;921,9;26,3;20,1;14,6;67,3;1,7;
2005-07-26;0;922,6;27,3;19,2;14;69,4;1,8;
2005-07-27;0;921,6;29,1;21,2;15;58,4;1,6;
2005-07-28;0;922,1;28,7;22,1;16,7;53,1;2,9;
2005-07-29;0;922,2;27,7;22,5;17,9;52,3;2,2;
2005-07-30;0;921,8;27,5;21,8;16,7;46,6;2,5;
2005-07-31;0;921,2;27,3;21,2;14,9;42,5;2,4;
2005-08-01;0;921,4;26,8;21,4;16,1;42,5;2,5;
2005-08-02;0;921,5;25,7;20,1;15,1;44,8;2,5;
2005-08-03;0;921,7;26,7;20,1;14,2;45,7;2,3;
2005-08-04;0;922;26,2;20,3;14,9;46,8;2,9;
2005-08-05;0;922,5;26,2;20,4;15,5;46,5;2,4;
2005-08-06;0;922,2;26,4;20,4;14,2;44,8;2,2;
2005-08-07;0;921,4;27,2;22;16,9;43,7;1,9;
2005-08-08;0;920,8;27;21,7;16,8;39,6;2;
2005-08-09;0;920,1;26,1;20;14,9;49,1;2;
2005-08-10;0;920,5;24;15,7;9,3;58,3;2;
2005-08-11;0;920,7;26,5;18,2;10,4;38,1;1,6;
2005-08-12;0;919,2;28,5;21;13,3;35,9;1,7;
2005-08-13;0;918;30,3;22,5;15,2;35,1;1,9;
2005-08-14;0;918,5;30,5;23,3;17;39,7;2,3;
2005-08-15;0;920,7;29,7;23,4;17,5;44,2;2,6;
2005-08-16;0;920,1;29;22,9;17,6;40,9;2,9;
2005-08-17;0;919,3;29,6;22,7;17,3;45;2,8;
2005-08-18;null;null;null;null;18;47,4;null;
2005-08-19;null;921,3;28,2;21,2;15,9;61,5;2;
2005-08-20;0;921,4;27,9;22,1;16,8;51,6;2,2;
2005-08-21;0;920,3;27,9;null;16,6;48,1;3,3;
2005-08-22;null;919,4;27,6;null;15,8;44,3;3,2;
2005-08-23;0;919,2;28,5;22,4;16,9;41,8;2,7;
2005-08-24;0;919;30,7;24,7;20,1;36;2,4;
2005-08-25;0;918,3;30,5;23,7;18,4;47;1,7;
2005-08-26;0;918;31,1;23,2;19;52;2,3;
2005-08-27;3,2;918,3;28,9;22,3;18;56,3;3,3;
2005-08-28;0;917,1;31,1;23,7;18,2;43;2,8;
2005-08-29;0;915,3;32,1;25,3;19,8;34,4;3;
2005-08-30;null;915,8;33,2;27,3;21,4;28,7;2,5;
2005-08-31;0;916,1;33,2;26,9;20,4;31,5;2;
2005-09-01;0;916,7;31,6;25,5;19,2;43,7;2;
2005-09-02;0;919,4;27,6;19;15,8;73,5;3,3;
2005-09-03;null;917,6;31,4;null;15,9;61,7;2,1;
2005-09-04;null;917,4;30,7;24;18,8;55;3,1;
2005-09-05;0;916,5;31,5;25,1;20,4;47,3;2,4;
2005-09-06;0;917,2;32,3;26,2;20,9;43,5;2,1;
2005-09-07;null;null;null;null;null;null;null;
2005-09-08;null;null;null;null;null;41,7;null;
2005-09-09;null;920;30;null;19,6;49,6;3,4;
2005-09-10;null;920,1;29,1;23,5;18;46;3,6;
2005-09-11;0;919,6;30,9;null;19,1;45,9;3,3;
2005-09-12;null;919,7;31,5;25,1;19,7;43,3;1,9;
2005-09-13;null;918,8;31,8;null;18,7;53,6;2,5;
2005-09-14;null;919;31,4;25,2;19,5;50,1;3,1;
2005-09-15;0;920,6;27,5;24,1;21;50,4;2,6;
2005-09-16;0;919,6;32;25,6;20,6;47;1,9;
2005-09-17;1,2;917,5;33,7;26,2;21,4;48,3;2,9;
2005-09-18;0;917;31,7;24,3;19,6;54,5;3,9;
2005-09-19;4,2;917,7;31,8;24;18,4;60,1;2,9;
2005-09-20;null;916,9;31,5;null;19,7;52;1,7;
2005-09-21;0;915,6;30,8;23,7;15,6;34,7;1,7;
2005-09-22;0;915,4;30,7;23,1;18,2;41,4;2,5;
2005-09-23;null;916,3;25,8;null;16,9;57,8;1,9;
2005-09-24;,2;915,2;29,9;22,7;17,4;57,6;2,3;
2005-09-25;null;915,2;27,3;21,9;19;71,2;1,9;
2005-09-26;19,4;918,1;21,5;19,8;18,5;82,8;1,1;
2005-09-27;,4;919,6;27,4;22,1;18,5;72,1;1;
2005-09-28;0;919,3;25,4;null;17,2;73;4,1;
2005-09-29;0;918,4;30,2;22,7;17,2;62,2;3,3;
2005-09-30;0;917,6;30,7;24,4;18,7;51,9;3;
2005-10-01;0;918;30,8;24,4;20,3;56,3;1,7;
2005-10-02;0;916,7;31,4;24,5;20,4;59,1;2;
2005-10-03;0;915,6;32,8;26,1;20;51,3;2,7;
2005-10-04;0;914,4;33,1;26,8;20,8;45,5;2,8;
2005-10-05;0;915,8;31,8;26;22,1;49;2,4;
2005-10-06;null;918,4;32,6;24,1;19,2;63;2,2;
2005-10-07;7;918,6;32,2;26,8;20,9;50,6;3,6;
2005-10-08;0;919,3;33;26,8;21,2;39,9;2,9;
2005-10-09;0;918,1;33,9;27,3;21,3;32,1;2,4;
2005-10-10;0;916,1;34,6;27,9;22,3;28,9;2,3;
2005-10-11;0;915,5;34,4;28,2;22,1;26,7;2,7;
2005-10-12;0;915;34,5;27,9;21,9;26,2;2,6;
2005-10-13;0;915,2;33,8;28,1;22,7;31,5;1,6;
2005-10-14;0;915,3;34,4;27;21,9;45;1,2;
2005-10-15;3,2;915,3;35,4;null;21,5;42,8;1,6;
2005-10-16;0;914,8;34,4;28,7;22,4;31,3;2,4;
2005-10-17;0;914,7;35,7;29,4;24,3;24;2,5;
2005-10-18;0;915,9;31,3;25,3;20,2;49,4;2,7;
2005-10-19;0;917,3;32,4;24,3;18,7;56,3;2,5;
2005-10-20;10,8;916,5;31,4;24,9;20,4;53,9;3;
2005-10-21;0;915,8;30,8;25,5;21,4;47,8;2,6;
2005-10-22;3;915,9;27,5;22,2;18,5;70,4;2,2;
2005-10-23;2,2;916,1;28,4;22,8;18,8;67,2;1,8;
2005-10-24;,2;915,7;32,9;null;20,9;56,4;3;
2005-10-25;null;915,7;30,1;25,3;21,6;53,2;2,7;
2005-10-26;,6;915,2;34,4;26,3;21,6;53,2;2,1;
2005-10-27;0;914,7;33,1;26,3;22,3;52,9;2,5;
2005-10-28;0;912,7;35,7;28;23,5;48;2,1;
2005-10-29;11;914,4;29,7;22,6;20,2;72,8;2,7;
2005-10-30;6,4;916;27,3;null;18,6;74,6;1,6;
2005-10-31;null;null;null;null;null;null;null;
2005-11-01;null;null;null;null;null;null;null;
2005-11-02;null;null;null;null;null;null;null;
2005-11-03;null;null;null;null;null;null;null;
2005-11-04;null;null;null;null;null;null;null;
2005-11-05;null;null;null;null;null;null;null;
2005-11-06;null;null;null;null;null;null;null;
2005-11-07;null;null;null;null;null;null;null;
2005-11-08;null;null;null;null;null;null;null;
2005-11-09;null;null;null;null;null;null;null;
2005-11-10;null;null;null;null;null;null;null;
2005-11-11;null;914,5;25,9;20,8;18;81;2,6;
2005-11-12;10,8;913,8;25,4;20,3;17,7;77,8;2,6;
2005-11-13;0;914,7;26,3;21,6;17,6;71,3;2,8;
2005-11-14;0;914,6;27,9;22,5;18,7;64,3;2,9;
2005-11-15;null;914,9;30,2;null;18,8;54,4;2,7;
2005-11-16;0;914,5;30;24,7;20,8;57,9;2,8;
2005-11-17;null;912,7;30,7;24,5;21,1;64,9;2,3;
2005-11-18;1,4;912,8;28,6;null;20,2;74,4;1,8;
2005-11-19;null;914,3;25,1;null;20,6;82,6;2,2;
2005-11-20;null;915,2;29,1;22,9;19,7;77,2;1,1;
2005-11-21;,8;913,8;31;null;20,8;69,7;1,7;
2005-11-22;null;912,8;29,6;null;19,6;73,6;2;
2005-11-23;null;913,3;28;null;18,7;75;1,9;
2005-11-24;null;914;26,6;23;19,9;75,5;2,3;
2005-11-25;7,8;912,8;27,9;null;19,8;82,8;2,1;
2005-11-26;19,6;910,6;25,8;21,9;20,3;84,1;2,1;
2005-11-27;null;null;null;null;20,9;null;null;
2005-11-28;null;911,3;27;null;null;84,3;2,5;
2005-11-29;null;null;null;null;null;null;null;
2005-11-30;null;null;null;null;null;null;null;
2005-12-01;null;915,1;27,5;22;null;79,2;2,6;
2005-12-02;4,2;913,6;27,4;22,3;19,8;79,3;2,4;
2005-12-03;23;913,4;29,6;23,2;19,2;75,9;1,7;
2005-12-04;6,4;913,9;26;22,2;19;77,5;2,6;
2005-12-05;0;911,6;27,2;22,1;20,8;81,5;2,4;
2005-12-06;13,4;909,4;26,8;21,4;19,5;87,2;1,6;
2005-12-07;15,6;909,7;24,9;20,9;18,9;86,3;1,6;
2005-12-08;23,6;912,1;26,3;21,4;19,8;84,8;2,5;
2005-12-09;7;914,1;26,6;22,3;19,9;81,1;2,6;
2005-12-10;5,6;914,4;27,6;22,5;20;79,5;1,9;
2005-12-11;5,4;913,2;27,4;21,9;19,8;81,3;2,2;
2005-12-12;17,8;914,3;22,1;19,2;17,5;87;3;
2005-12-13;10,4;913,7;24,6;20,1;17,6;86,7;2,6;
2005-12-14;21;913,1;25,7;20,7;19;86,2;2,1;
2005-12-15;10,6;912;28,3;22,8;18,6;75,5;1,3;
2005-12-16;,2;914;24,7;21,6;18,8;74,5;2,7;
2005-12-17;,8;916,8;24,9;20,4;18,2;79,7;3;
2005-12-18;1,8;916,4;26,4;21,7;18,6;74,6;2,5;
2005-12-19;0;916,8;27;22,8;20,5;71,4;2,1;
2005-12-20;7,2;916,9;29,5;23,3;17,6;66;2,7;
2005-12-21;,2;916,7;31,8;24,9;20,5;58,3;2,2;
2005-12-22;0;917;28,2;23,6;21,2;64,5;2,9;
2005-12-23;0;916,6;29,1;24,2;20,6;61,3;2,1;
2005-12-24;0;915,6;30,9;25,3;20,2;53;1,8;
2005-12-25;22,4;915,8;29,4;21,8;18,6;78,7;1,8;
2005-12-26;10;915,5;26,5;22,4;20,4;75,2;2,6;
2005-12-27;,2;914,6;28,7;22,2;18;72;2,8;
2005-12-28;0;914,3;28,9;22,8;18,9;67,3;2,7;
2005-12-29;2,4;914,7;28,4;22,4;18,7;68,3;2,9;
2005-12-30;,2;915,9;28,1;22,1;17,8;68,8;3,4;
2005-12-31;0;915,8;26,1;21,7;19,4;72,9;2,6;
2006-01-01;6,2;914,9;27,5;22,7;19,3;73,8;2,2;
2006-01-02;5;914,8;26,2;21,9;19,7;78;2,3;
2006-01-03;10;914,6;26,5;21,3;18,7;82,3;2,3;
2006-01-04;1;913,1;27;21,8;18,9;76;1,9;
2006-01-05;46;913,1;23,1;19,7;17,4;88,1;1,8;
2006-01-06;59,4;914,8;25;20,4;17,9;82,4;2;
2006-01-07;,4;915,7;28,8;23;19,7;73,7;2,1;
2006-01-08;0;916,3;28,5;22,7;20,5;76,3;2,1;
2006-01-09;11,8;916,7;26,3;21,4;18,3;79,1;1,4;
2006-01-10;22,6;916,9;29,1;22,9;18,9;70;2,9;
2006-01-11;0;918;27,5;22,9;19,3;65,9;2,8;
2006-01-12;0;918,6;27,4;23;19,4;64,3;3;
2006-01-13;0;919,4;28,2;22,9;19;64,8;2,1;
2006-01-14;,6;918,2;30,7;24,6;19,7;57,2;2,2;
2006-01-15;0;917;29,9;25;19,8;50,7;2,6;
2006-01-16;0;916,7;30,8;25,5;19,4;51;1,6;
2006-01-17;0;916,2;30,6;26,2;22,5;50,4;1,7;
2006-01-18;,2;915,3;29,3;25;19,4;57,8;1,7;
2006-01-19;0;914,2;31;25,6;21;55,1;2;
2006-01-20;0;914,8;30,8;25,6;20,9;53,1;2,1;
2006-01-21;0;916,6;30,4;25,4;21;49,9;3;
2006-01-22;0;916,7;31;25,7;20,9;48,9;2,2;
2006-01-23;0;915,3;32,3;27;21,1;42,3;1,4;
2006-01-24;0;914,9;33,6;28;22,1;42,6;1,6;
2006-01-25;0;916,1;34,2;28,6;22,6;40,8;1,7;
2006-01-26;0;916,7;33,2;24,9;21,4;58,8;2;
2006-01-27;18;916,8;31,1;24,8;18,3;60,2;1,5;
2006-01-28;,8;916,7;29;24,5;21,6;64,5;1,5;
2006-01-29;,4;914,3;29,7;23,8;18,8;69,4;2,2;
2006-01-30;22,4;914,9;24,5;20,7;18,9;82,9;2,6;
2006-01-31;,2;914,9;28,8;23,4;18,7;70,6;1,6;
2006-02-01;0;914,8;29,9;23,4;20,1;70;1,9;
2006-02-02;33,8;915,4;29,5;23,1;17,6;67;2,2;
2006-02-03;13,2;915,5;27,6;23;19,3;76;1,8;
2006-02-04;0;914,7;30,3;24;19,6;66,4;1,9;
2006-02-05;,2;914,5;31,1;25,3;19,4;58,3;1,5;
2006-02-06;0;914,3;30,7;26;21,3;53,9;1,5;
2006-02-07;0;913,2;31,3;26,1;22,5;60,7;1,8;
2006-02-08;,8;914,6;28,9;24,5;21;71;1,9;
2006-02-09;8,6;917;30,2;null;20,1;71,2;1,1;
2006-02-10;null;null;null;null;null;null;null;
2006-02-11;null;null;null;null;null;null;null;
2006-02-12;null;915,1;25;21,4;null;80,9;2,5;
2006-02-13;9,2;915,8;28,7;22,9;19,3;74,6;1,9;
2006-02-14;18,8;915,6;29,9;23,8;19,8;75,6;1,6;
2006-02-15;,8;915,3;31;25,1;21,6;70;1,8;
2006-02-16;0;916,2;26,9;23,6;21,4;72,5;1,3;
2006-02-17;0;915,5;31;25,1;21,3;67,8;1,7;
2006-02-18;0;915,6;31,4;25,8;21;59,8;1,8;
2006-02-19;0;916,8;31,4;25,3;20,5;61,3;1,4;
2006-02-20;0;916,4;31,7;25,6;21,9;61,4;1,6;
2006-02-21;0;914,5;30;23,8;21,4;69;2;
2006-02-22;1,8;913,8;27,2;22,2;19,7;75,3;2,4;
2006-02-23;1,6;914,1;26,9;21,3;19,1;81,4;1,8;
2006-02-24;11;913,6;28,4;22,4;19,1;78,2;2;
2006-02-25;1,6;913,4;28,5;23;19,9;76,3;2,1;
2006-02-26;,6;null;27,1;null;20,5;83,5;null;
2006-02-27;null;null;null;null;null;null;null;
2006-02-28;null;null;null;null;null;null;null;
2006-03-01;null;915,8;29,6;23,2;20,2;79;1;
2006-03-02;,8;916,5;29,5;23;19,1;78,6;1,2;
2006-03-03;,8;916,1;30,5;25,2;20,6;72,6;1,3;
2006-03-04;,6;916,3;28,4;24;22,4;76,7;1,1;
2006-03-05;,6;916,6;29;24;20,1;73,1;1,9;
2006-03-06;,6;915;27,2;22,8;20,8;78,3;1,7;
2006-03-07;2,6;914,1;28,9;23;18,4;74,7;1,4;
2006-03-08;2;914;27,3;22,6;20,3;78,3;2;
2006-03-09;1,4;913,2;28,5;23,4;20;73,3;1,8;
2006-03-10;31,2;912,7;29,7;24,6;21,1;70,6;1,5;
2006-03-11;6,4;912,9;27,1;22,9;19,9;77,6;1,5;
2006-03-12;,8;914,2;28,8;23,3;19,8;71;2,2;
2006-03-13;0;913,7;28;23;20,1;74,4;2,3;
2006-03-14;1;914,7;23,8;21;19,9;88,1;1,5;
2006-03-15;14,4;915,1;26,5;21,7;19,8;84;1,8;
2006-03-16;24;915,5;26;21,3;19,6;84,7;2,1;
2006-03-17;9,4;915,8;24,5;20,7;19,6;86,7;2,2;
2006-03-18;11;916,2;26,6;21,3;19,1;81,3;1,6;
2006-03-19;9,6;915,5;28,9;22,8;18,8;75,6;2,2;
2006-03-20;8;916,6;27,8;23,2;20;72,4;2,4;
2006-03-21;0;917,2;29,3;23,3;19,8;74,1;1,4;
2006-03-22;12,2;917,2;29,7;24,5;19,9;67,3;2,4;
2006-03-23;0;916,9;29,7;24,6;20,7;66,2;2,4;
